Labels,Decay28,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset,,
XAxis,Time,
YAxis,Counts,

0.00,0.00000000E+0,
4.8828125,0.00000000E+0,
9.7656250,0.00000000E+0,
14.648438,0.00000000E+0,
19.531250,0.00000000E+0,
24.414063,0.00000000E+0,
29.296875,0.00000000E+0,
34.179688,0.00000000E+0,
39.06250,1.00000000E+0,
43.945313,1.40000000E+1,
48.828125,1.30000000E+1,
53.710938,1.00000000E+1,
58.593750,2.20000000E+1,
63.476563,9.00000000E+0,
68.359375,1.60000000E+1,
73.242188,2.93000000E+2,
78.1250,3.13000000E+2,
83.007813,2.79000000E+2,
87.890625,2.89000000E+2,
92.773438,2.57000000E+2,
97.656250,2.25000000E+2,
102.539060,2.49000000E+2,
107.421880,2.45000000E+2,
112.304690,2.27000000E+2,
117.187500,2.44000000E+2,
122.070310,2.38000000E+2,
126.953130,2.34000000E+2,
131.835940,2.28000000E+2,
136.718750,2.55000000E+2,
141.601560,2.26000000E+2,
146.484380,2.33000000E+2,
151.367190,1.96000000E+2,
156.2500,2.16000000E+2,
161.132810,2.15000000E+2,
166.015630,1.89000000E+2,
170.898440,2.02000000E+2,
175.781250,1.88000000E+2,
180.664060,2.05000000E+2,
185.546880,2.16000000E+2,
190.429690,2.07000000E+2,
195.312500,1.94000000E+2,
200.195310,2.12000000E+2,
205.078130,2.04000000E+2,
209.960940,2.15000000E+2,
214.843750,2.08000000E+2,
219.726560,2.20000000E+2,
224.609380,2.28000000E+2,
229.492190,1.96000000E+2,
234.37500,2.18000000E+2,
239.257810,2.25000000E+2,
244.140630,2.10000000E+2,
249.023440,1.90000000E+2,
253.906250,1.81000000E+2,
258.789060,1.87000000E+2,
263.671880,2.02000000E+2,
268.554690,2.00000000E+2,
273.437500,2.25000000E+2,
278.320310,1.93000000E+2,
283.203130,1.85000000E+2,
288.085940,2.22000000E+2,
292.968750,1.88000000E+2,
297.851560,1.77000000E+2,
302.734380,1.96000000E+2,
307.617190,1.80000000E+2,
312.500,1.96000000E+2,
317.382810,2.07000000E+2,
322.265630,1.85000000E+2,
327.148440,1.93000000E+2,
332.031250,1.88000000E+2,
336.914060,1.80000000E+2,
341.796880,1.92000000E+2,
346.679690,1.87000000E+2,
351.562500,1.76000000E+2,
356.445310,1.96000000E+2,
361.328130,1.49000000E+2,
366.210940,1.89000000E+2,
371.093750,1.75000000E+2,
375.976560,1.96000000E+2,
380.859380,1.72000000E+2,
385.742190,1.95000000E+2,
390.62500,1.73000000E+2,
395.507810,1.81000000E+2,
400.390630,1.86000000E+2,
405.273440,1.85000000E+2,
410.156250,1.74000000E+2,
415.039060,1.77000000E+2,
419.921880,1.67000000E+2,
424.804690,1.92000000E+2,
429.687500,1.87000000E+2,
434.570310,1.78000000E+2,
439.453130,1.69000000E+2,
444.335940,1.97000000E+2,
449.218750,1.77000000E+2,
454.101560,1.83000000E+2,
458.984380,1.80000000E+2,
463.867190,1.89000000E+2,
468.7500,1.74000000E+2,
473.632810,1.64000000E+2,
478.515630,1.67000000E+2,
483.398440,1.99000000E+2,
488.281250,1.83000000E+2,
493.164060,1.64000000E+2,
498.046880,1.76000000E+2,
502.929690,1.59000000E+2,
507.812500,1.50000000E+2,
512.695310,1.71000000E+2,
517.578130,1.73000000E+2,
522.460940,1.63000000E+2,
527.343750,1.66000000E+2,
532.226560,1.61000000E+2,
537.109380,1.60000000E+2,
541.992190,1.59000000E+2,
546.87500,1.48000000E+2,
551.757810,1.66000000E+2,
556.640630,1.63000000E+2,
561.523440,1.57000000E+2,
566.406250,1.50000000E+2,
571.289060,1.54000000E+2,
576.171880,1.61000000E+2,
581.054690,1.66000000E+2,
585.937500,1.70000000E+2,
590.820310,1.74000000E+2,
595.703130,1.73000000E+2,
600.585940,1.47000000E+2,
605.468750,1.74000000E+2,
610.351560,1.70000000E+2,
615.234380,1.53000000E+2,
620.117190,1.41000000E+2,
625.00,1.57000000E+2,
629.882810,1.55000000E+2,
634.765630,1.53000000E+2,
639.648440,1.57000000E+2,
644.531250,1.39000000E+2,
649.414060,1.49000000E+2,
654.296880,1.73000000E+2,
659.179690,1.42000000E+2,
664.062500,1.52000000E+2,
668.945310,1.55000000E+2,
673.828130,1.34000000E+2,
678.710940,1.59000000E+2,
683.593750,1.50000000E+2,
688.476560,1.56000000E+2,
693.359380,1.40000000E+2,
698.242190,1.41000000E+2,
703.12500,1.32000000E+2,
708.007810,1.38000000E+2,
712.890630,1.43000000E+2,
717.773440,1.45000000E+2,
722.656250,1.32000000E+2,
727.539060,1.50000000E+2,
732.421880,1.55000000E+2,
737.304690,1.52000000E+2,
742.187500,1.59000000E+2,
747.070310,1.46000000E+2,
751.953130,1.40000000E+2,
756.835940,1.39000000E+2,
761.718750,1.45000000E+2,
766.601560,1.49000000E+2,
771.484380,1.26000000E+2,
776.367190,1.41000000E+2,
781.2500,1.60000000E+2,
786.132810,1.35000000E+2,
791.015630,1.60000000E+2,
795.898440,1.32000000E+2,
800.781250,1.16000000E+2,
805.664060,1.19000000E+2,
810.546880,1.22000000E+2,
815.429690,1.47000000E+2,
820.312500,1.15000000E+2,
825.195310,1.65000000E+2,
830.078130,1.44000000E+2,
834.960940,1.41000000E+2,
839.843750,1.41000000E+2,
844.726560,1.33000000E+2,
849.609380,1.36000000E+2,
854.492190,1.35000000E+2,
859.37500,1.13000000E+2,
864.257810,1.44000000E+2,
869.140630,1.51000000E+2,
874.023440,1.35000000E+2,
878.906250,1.35000000E+2,
883.789060,1.45000000E+2,
888.671880,1.14000000E+2,
893.554690,1.22000000E+2,
898.437500,1.33000000E+2,
903.320310,1.36000000E+2,
908.203130,1.27000000E+2,
913.085940,1.15000000E+2,
917.968750,1.29000000E+2,
922.851560,1.25000000E+2,
927.734380,1.28000000E+2,
932.617190,1.27000000E+2,
937.500,1.16000000E+2,
942.382810,1.31000000E+2,
947.265630,1.22000000E+2,
952.148440,1.23000000E+2,
957.031250,1.32000000E+2,
961.914060,1.27000000E+2,
966.796880,1.15000000E+2,
971.679690,1.24000000E+2,
976.562500,1.33000000E+2,
981.445310,1.24000000E+2,
986.328130,1.08000000E+2,
991.210940,1.36000000E+2,
996.093750,1.41000000E+2,
1000.976600,1.24000000E+2,
1005.859400,1.16000000E+2,
1010.742200,1.24000000E+2,
1015.625000,1.23000000E+2,
1020.507800,1.22000000E+2,
1025.390600,1.51000000E+2,
1030.273400,1.24000000E+2,
1035.156300,1.23000000E+2,
1040.039100,9.60000000E+1,
1044.921900,1.30000000E+2,
1049.804700,1.12000000E+2,
1054.687500,1.07000000E+2,
1059.57000,1.32000000E+2,
1064.453100,1.27000000E+2,
1069.335900,1.16000000E+2,
1074.218800,1.25000000E+2,
1079.101600,1.26000000E+2,
1083.984400,1.19000000E+2,
1088.867200,1.39000000E+2,
1093.75000,1.00000000E+2,
1098.632800,1.09000000E+2,
1103.515600,1.13000000E+2,
1108.398400,1.09000000E+2,
1113.281300,1.31000000E+2,
1118.164100,1.24000000E+2,
1123.046900,1.15000000E+2,
1127.93000,1.11000000E+2,
1132.812500,1.26000000E+2,
1137.695300,1.14000000E+2,
1142.578100,1.26000000E+2,
1147.460900,9.40000000E+1,
1152.343800,1.30000000E+2,
1157.226600,1.03000000E+2,
1162.109400,1.05000000E+2,
1166.992200,1.05000000E+2,
1171.875000,1.34000000E+2,
1176.757800,1.26000000E+2,
1181.640600,1.09000000E+2,
1186.523400,1.07000000E+2,
1191.406300,1.13000000E+2,
1196.289100,1.16000000E+2,
1201.171900,1.00000000E+2,
1206.054700,1.14000000E+2,
1210.937500,1.12000000E+2,
1215.82000,1.18000000E+2,
1220.703100,1.19000000E+2,
1225.585900,1.21000000E+2,
1230.468800,9.20000000E+1,
1235.351600,9.40000000E+1,
1240.234400,1.12000000E+2,
1245.117200,1.12000000E+2,
1250.00,1.01000000E+2,
1254.882800,1.05000000E+2,
1259.765600,9.50000000E+1,
1264.648400,8.50000000E+1,
1269.531300,1.06000000E+2,
1274.414100,1.02000000E+2,
1279.296900,9.50000000E+1,
1284.18000,9.50000000E+1,
1289.062500,1.02000000E+2,
1293.945300,9.60000000E+1,
1298.828100,8.20000000E+1,
1303.710900,1.17000000E+2,
1308.593800,1.13000000E+2,
1313.476600,1.14000000E+2,
1318.359400,9.80000000E+1,
1323.242200,1.02000000E+2,
1328.125000,1.02000000E+2,
1333.007800,1.01000000E+2,
1337.890600,1.06000000E+2,
1342.773400,8.60000000E+1,
1347.656300,1.04000000E+2,
1352.539100,1.03000000E+2,
1357.421900,1.00000000E+2,
1362.304700,9.20000000E+1,
1367.187500,8.50000000E+1,
1372.07000,9.50000000E+1,
1376.953100,1.16000000E+2,
1381.835900,1.12000000E+2,
1386.718800,1.11000000E+2,
1391.601600,9.40000000E+1,
1396.484400,1.07000000E+2,
1401.367200,8.60000000E+1,
1406.25000,1.01000000E+2,
1411.132800,8.80000000E+1,
1416.015600,9.30000000E+1,
1420.898400,1.06000000E+2,
1425.781300,1.02000000E+2,
1430.664100,9.40000000E+1,
1435.546900,8.20000000E+1,
1440.43000,1.04000000E+2,
1445.312500,9.60000000E+1,
1450.195300,9.80000000E+1,
1455.078100,8.10000000E+1,
1459.960900,9.90000000E+1,
1464.843800,9.90000000E+1,
1469.726600,8.20000000E+1,
1474.609400,8.20000000E+1,
1479.492200,7.90000000E+1,
1484.375000,1.01000000E+2,
1489.257800,9.20000000E+1,
1494.140600,1.08000000E+2,
1499.023400,7.10000000E+1,
1503.906300,1.05000000E+2,
1508.789100,9.40000000E+1,
1513.671900,1.11000000E+2,
1518.554700,7.80000000E+1,
1523.437500,9.40000000E+1,
1528.32000,8.10000000E+1,
1533.203100,7.50000000E+1,
1538.085900,8.70000000E+1,
1542.968800,9.40000000E+1,
1547.851600,8.90000000E+1,
1552.734400,9.00000000E+1,
1557.617200,9.60000000E+1,
1562.5000,8.50000000E+1,
1567.382800,7.00000000E+1,
1572.265600,9.30000000E+1,
1577.148400,7.60000000E+1,
1582.031300,1.06000000E+2,
1586.914100,9.00000000E+1,
1591.796900,9.20000000E+1,
1596.68000,6.50000000E+1,
1601.562500,8.60000000E+1,
1606.445300,8.00000000E+1,
1611.328100,9.20000000E+1,
1616.210900,9.20000000E+1,
1621.093800,7.40000000E+1,
1625.976600,7.40000000E+1,
1630.859400,7.70000000E+1,
1635.742200,8.30000000E+1,
1640.625000,7.70000000E+1,
1645.507800,7.20000000E+1,
1650.390600,8.30000000E+1,
1655.273400,1.16000000E+2,
1660.156300,7.70000000E+1,
1665.039100,9.80000000E+1,
1669.921900,8.40000000E+1,
1674.804700,9.90000000E+1,
1679.687500,8.50000000E+1,
1684.57000,7.70000000E+1,
1689.453100,8.60000000E+1,
1694.335900,7.70000000E+1,
1699.218800,6.20000000E+1,
1704.101600,7.50000000E+1,
1708.984400,7.70000000E+1,
1713.867200,9.00000000E+1,
1718.75000,9.50000000E+1,
1723.632800,7.80000000E+1,
1728.515600,6.60000000E+1,
1733.398400,7.80000000E+1,
1738.281300,8.30000000E+1,
1743.164100,6.50000000E+1,
1748.046900,9.60000000E+1,
1752.93000,9.00000000E+1,
1757.812500,8.70000000E+1,
1762.695300,7.90000000E+1,
1767.578100,7.90000000E+1,
1772.460900,8.00000000E+1,
1777.343800,6.50000000E+1,
1782.226600,6.40000000E+1,
1787.109400,7.00000000E+1,
1791.992200,6.40000000E+1,
1796.875000,7.00000000E+1,
1801.757800,8.40000000E+1,
1806.640600,7.30000000E+1,
1811.523400,6.20000000E+1,
1816.406300,7.90000000E+1,
1821.289100,8.20000000E+1,
1826.171900,7.10000000E+1,
1831.054700,8.90000000E+1,
1835.937500,7.50000000E+1,
1840.82000,7.30000000E+1,
1845.703100,7.90000000E+1,
1850.585900,8.00000000E+1,
1855.468800,7.10000000E+1,
1860.351600,8.00000000E+1,
1865.234400,6.80000000E+1,
1870.117200,7.20000000E+1,
1875.000,7.20000000E+1,
1879.882800,8.40000000E+1,
1884.765600,6.90000000E+1,
1889.648400,6.40000000E+1,
1894.531300,6.30000000E+1,
1899.414100,6.60000000E+1,
1904.296900,6.30000000E+1,
1909.18000,6.90000000E+1,
1914.062500,7.30000000E+1,
1918.945300,8.00000000E+1,
1923.828100,9.20000000E+1,
1928.710900,6.80000000E+1,
1933.593800,5.90000000E+1,
1938.476600,9.00000000E+1,
1943.359400,5.80000000E+1,
1948.242200,7.40000000E+1,
1953.125000,6.20000000E+1,
1958.007800,8.70000000E+1,
1962.890600,7.70000000E+1,
1967.773400,6.70000000E+1,
1972.656300,7.00000000E+1,
1977.539100,5.90000000E+1,
1982.421900,5.50000000E+1,
1987.304700,7.20000000E+1,
1992.187500,8.00000000E+1,
1997.07000,6.00000000E+1,
2001.953100,6.80000000E+1,
2006.835900,7.20000000E+1,
2011.718800,7.20000000E+1,
2016.601600,7.60000000E+1,
2021.484400,5.50000000E+1,
2026.367200,7.00000000E+1,
2031.25000,7.80000000E+1,
2036.132800,6.80000000E+1,
2041.015600,6.80000000E+1,
2045.898400,7.50000000E+1,
2050.781300,5.20000000E+1,
2055.664100,6.50000000E+1,
2060.546900,7.60000000E+1,
2065.43000,6.60000000E+1,
2070.312500,7.40000000E+1,
2075.195300,8.20000000E+1,
2080.078100,5.90000000E+1,
2084.960900,7.50000000E+1,
2089.843800,5.70000000E+1,
2094.726600,7.10000000E+1,
2099.609400,5.70000000E+1,
2104.492200,6.00000000E+1,
2109.375000,6.50000000E+1,
2114.257800,6.40000000E+1,
2119.140600,6.10000000E+1,
2124.023400,5.10000000E+1,
2128.906300,5.90000000E+1,
2133.789100,6.20000000E+1,
2138.671900,6.10000000E+1,
2143.554700,8.20000000E+1,
2148.437500,5.50000000E+1,
2153.32000,5.70000000E+1,
2158.203100,5.90000000E+1,
2163.085900,6.80000000E+1,
2167.968800,6.70000000E+1,
2172.851600,6.80000000E+1,
2177.734400,4.70000000E+1,
2182.617200,5.80000000E+1,
2187.5000,6.10000000E+1,
2192.382800,5.90000000E+1,
2197.265600,6.80000000E+1,
2202.148400,6.40000000E+1,
2207.031300,6.00000000E+1,
2211.914100,5.80000000E+1,
2216.796900,5.60000000E+1,
2221.68000,6.60000000E+1,
2226.562500,4.90000000E+1,
2231.445300,6.40000000E+1,
2236.328100,6.10000000E+1,
2241.210900,5.50000000E+1,
2246.093800,4.10000000E+1,
2250.976600,5.70000000E+1,
2255.859400,7.00000000E+1,
2260.742200,5.90000000E+1,
2265.625000,5.70000000E+1,
2270.507800,6.70000000E+1,
2275.390600,6.30000000E+1,
2280.273400,6.30000000E+1,
2285.156300,6.60000000E+1,
2290.039100,5.90000000E+1,
2294.921900,5.20000000E+1,
2299.804700,5.30000000E+1,
2304.687500,5.10000000E+1,
2309.57000,6.00000000E+1,
2314.453100,5.50000000E+1,
2319.335900,5.50000000E+1,
2324.218800,5.20000000E+1,
2329.101600,5.00000000E+1,
2333.984400,6.10000000E+1,
2338.867200,5.10000000E+1,
2343.75000,6.20000000E+1,
2348.632800,5.10000000E+1,
2353.515600,5.50000000E+1,
2358.398400,5.60000000E+1,
2363.281300,5.50000000E+1,
2368.164100,5.10000000E+1,
2373.046900,4.80000000E+1,
2377.93000,5.90000000E+1,
2382.812500,5.10000000E+1,
2387.695300,6.40000000E+1,
2392.578100,3.10000000E+1,
2397.460900,4.20000000E+1,
2402.343800,6.90000000E+1,
2407.226600,5.60000000E+1,
2412.109400,6.20000000E+1,
2416.992200,5.00000000E+1,
2421.875000,4.50000000E+1,
2426.757800,4.80000000E+1,
2431.640600,5.70000000E+1,
2436.523400,4.50000000E+1,
2441.406300,4.40000000E+1,
2446.289100,5.20000000E+1,
2451.171900,4.00000000E+1,
2456.054700,6.10000000E+1,
2460.937500,3.50000000E+1,
2465.82000,4.10000000E+1,
2470.703100,4.50000000E+1,
2475.585900,4.70000000E+1,
2480.468800,4.80000000E+1,
2485.351600,4.30000000E+1,
2490.234400,4.50000000E+1,
2495.117200,5.60000000E+1,
2500.00,6.20000000E+1,
